YEAR,RATE_2Seam,RATE_4Seam,RATE_Cutt,RATE_Curv,RATE_Slid,RATE_Chan,RATE_Sink,RATE_Fork,RATE_Knuc,RATE_Other,SPEED_2Seam,SPEED_4Seam,SPEED_Cutt,SPEED_Curv,SPEED_Slid,SPEED_Chan,SPEED_Sink,SPEED_Fork,SPEED_Knuc,SPEED_Other,WAR
2019,22.6,27.4,20.2,4.8,7.1,0,0,13.1,4.8,0,133.6,136.9,132.4,117,130.3,0,0,127.9,119.3,0,-0.08
2018,17.1,31.9,4.4,8.7,20.8,17.2,0,0,0,0,141.7,144.3,136.8,127.6,136.2,134.5,0,0,0,141,2.83
2013,0,56.1,0,12.7,10.1,0.5,20.1,0,0,0.3,131,132,0,107.4,120.1,122.8,121.6,0,0,0,3.58
2014,0.1,50.8,0,10.2,10.5,0.1,28.2,0,0,0.1,120,131.6,0,106.3,118.9,116.3,119.8,0,0,0,3.88
2015,0.1,42.1,0,12.3,11.7,0.7,31.6,0,0,1.5,126.5,127.3,0,103.5,118.2,110.5,117,0,0,119.5,5.22
2016,0.2,43.4,0,11,18.1,0,27.1,0,0,0.2,128.4,128.4,0,108.8,120.6,0,118.9,0,0,123,4.44
2017,0,43.3,0,7.3,13.3,0,36.1,0,0,0.1,0,128.9,0,102.2,121.5,0,120.6,0,0,103.5,3.41
2018,0,42.6,0.1,10.8,12.7,0.1,29.9,3.9,0,0,0,129.6,128,101.6,121.1,113.5,120.7,116,0,0,-0.18
2019,0,39.2,0,8.1,15.7,0,36.8,0.2,0,0,0,129.1,0,101.5,122.8,0,120.8,121.8,0,0,3.55
2020,0,39,0,10.4,12.3,0,37.5,0.8,0,0,0,129,0,100.9,122.6,123,121.3,111.2,0,0,1.38
2021,0,42.7,0,11.4,14.9,0,31,0,0,0,0,128.6,0,102,122.4,0,121.3,0,0,0,-0.63
2019,2.2,42.5,3.9,9.4,19.8,21.8,0,0.3,0,0,138.4,139.9,132.9,111.9,127.6,119.9,0,125,0,0,1.42
2020,0,50.3,0.1,6.6,19.2,23.8,0,0,0,0,0,142.6,136.5,112.6,129.9,123.5,0,0,0,0,2.44
2021,0.1,46.4,0,6.8,17.1,29.5,0,0,0,0,138,144.4,0,116.8,128.2,124.7,0,0,0,0,6.03
2022,0.1,43,0,6.1,24.4,26.3,0,0,0,0.1,144.3,145,0,117,131.8,125.4,0,0,0,0,4.67
2023,0,41.3,2.5,4.4,26,25.8,0,0,0,0.1,0,144.5,138.1,113,133.7,124.6,0,0,0,0,4.48
2014,14,45.6,10.1,13.8,2.5,13.1,0.8,0.1,0,0.1,141.6,142.9,137.4,115.7,134.3,128.7,140.9,127.5,0,109.2,4.66
2019,34,20.8,0.1,17.2,18.3,0,0,9.5,0,0,148,149.6,137,124.3,133.7,0,0,139.3,0,0,0.73
2014,1.3,0,78.1,17.6,0,0,0,2.9,0,0.1,133.5,0,133.8,117.9,0,0,0,127.6,0,0,0.25
2015,0.2,0,68.4,27.9,1.7,0.5,0,0.2,0,1,0,0,134.1,115.9,0,119.5,0,127,0,0,0.68
2016,0,0,73.6,25.4,0.6,0.4,0,0,0,0,0,0,132.8,113.7,0,125,0,0,0,0,-0.06
2017,0,0,77.3,22.6,0,0,0,0.1,0,0,0,0,132.9,114.7,0,0,0,129,0,0,0.29
2018,0,0,66.7,27.7,2.8,0,0,2.7,0,0,0,133,131.7,111.1,126,0,0,125.8,0,0,2.69
2019,0,0,74.2,21.4,2.8,0.1,0,1.5,0,0,0,0,129.6,110.6,118.5,127,0,124.7,0,0,0.07
2020,0,0,63.6,36.4,0,0,0,0,0,0,0,0,130.7,117.3,0,0,0,0,0,0,-0.06
2013,10,45.7,3.8,4.7,17.8,17.3,0,0,0,0.6,142.5,145.8,139.5,126.4,134.2,134.3,0,0,0,0,6.8
2014,26.4,27.3,5.8,13,12.8,14,0,0.3,0,0.2,141.4,143.2,140,122.5,132.1,132.1,0,131,0,0,3.33
2015,7.4,39.8,6.2,13,20,11.3,0,0,0,2.3,136.7,138.2,134,120.5,129,128.4,0,0,0,130,0.06
2013,9.2,52.3,0.2,6.1,22,9.1,0,0,0,1,145.5,148.8,138.6,117.6,133.7,133.6,0,0,0,125,3
2014,2.2,61,1.1,7.6,26.8,1,0,0.4,0,0,142.9,150.5,141.2,118.9,136.6,134.1,0,139.6,0,0,6.37
2020,9.8,33.8,13.9,19,1.1,22.3,0,0,0,0.1,145.5,146.6,142.3,120.6,141.3,132.1,0,0,0,0,5.71
2021,2.3,28.6,1.1,14.9,28,24.8,0,0,0,0.2,143.7,145.2,141.8,120.8,139.8,130.3,0,0,0,0,5.69
2022,5.5,22.9,0,14.9,32.9,23.6,0,0,0,0.2,145.3,144.8,0,120.7,140.1,130.5,0,0,0,0,5.75
2023,11.3,14.2,22.1,15.9,15.2,21.2,0,0,0,0.2,146.6,146.7,142,123.7,141.9,132.6,0,0,0,0,6.31
2023,26.4,26.7,1.6,13.5,14.9,16.5,0,0,0,0.5,145,146.1,138.4,129.6,136.9,133,0,0,0,139,7.12
2018,0.6,51.1,21,11.3,0.1,12.8,0,3.1,0,0,147.1,150.7,143.6,129,142,140,0,137.1,0,0,3.18
2019,0.1,48.6,10.6,20.7,1.4,1.1,0,17.4,0,0,144.3,151.2,143.3,134.1,142,139.7,0,140,0,0,6.64
2021,0,60.7,0,0,8.5,3.5,0,27.3,0,0,0,146.3,0,122,130.7,130.7,0,129.6,0,0,7.49
2022,0,58.9,0,1.7,13.1,0,0,26.3,0,0,0,141.3,0,108.3,124.1,0,0,124.8,0,0,-0.11
2013,0,40,0,4.4,27.1,18.3,9.6,0,0,0.7,0,135.7,0,120.6,124,121.7,131.6,0,0,98.5,-0.17
2014,0,51.3,0,0.7,23.1,22.5,1.8,0,0,0.7,0,137.6,0,116,127,124.1,132.2,0,0,0,-0.08
2017,0.7,44,0,3.5,18,29.8,3.6,0.1,0,0.2,132.1,136.3,0,118.3,124.3,121.2,131.6,126,0,120,3.68
